Camera,Name,Bin Name,Episode,Scene,Take,Duration,File Size,EI/ISO (ASA),White Balance,Tint,Resolution,Project FPS,Sensor Fps,Shutter,Shutter Angle,Lens Model,Focal Length,T-Stop,ND Filter,Focus Distance,Codec,File Type,Registration Date,TC Start,TC End,Shooting Day,Verified Backups
"","B067C013_220117_BNWB","B067BNWB","3","3/13E","3","125.6256256103516","30439615967","800","2800","0","4448x3096","23.98","23.98","1/50s","172.8Â° @ 23.98fps"," alfa 60 8086","60","2 7/10","","1.339977","ARRIRAW","arx","2022-01-17 16:58:19 +0000","16:25:36.08","16:27:41.20","","1"
"","G005_C001_20220510_R","DJI_G005","5","5/11J","1","3.211541652679443","1262354432","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-10 21:06:19 +0100","19:04:41.00","19:04:44.05","106","2"
"","G005_C002_20220510_R","DJI_G005","5","5/11J","2","258.3831176757812","123033223168","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-10 21:06:19 +0100","19:15:37.00","19:19:55.03","106","2"
"","G005_C003_20220510_R","DJI_G005","5","5/11J","3","327.4938354492188","153539706880","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-10 21:06:19 +0100","19:28:09.00","19:33:36.04","106","2"
"","G005_C004_20220510_R","DJI_G005","5","5/11J","4","242.7424926757812","106385375232","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-10 21:06:20 +0100","19:38:36.21","19:42:39.09","106","2"
"","G006_C001_20220510_R","DJI_G006","6","6/06D","1","4.671333312988281","1887109120","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-10 21:44:22 +0100","20:14:38.00","20:14:42.16","106","2"
"","G006_C002_20220510_R","DJI_G006","6","6/06D","2","62.5625","21859270656","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-10 21:44:22 +0100","20:39:23.00","20:40:25.12","106","2"
"","G006_C003_20220510_R","DJI_G006","6","6/06D","3","68.48508453369141","23445831680","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-10 21:44:22 +0100","20:41:23.00","20:42:31.10","106","2"
"","G006_C004_20220510_R","DJI_G006","6","6/06D","4","67.90116119384766","23077191680","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-10 21:44:22 +0100","20:44:56.00","20:46:03.20","106","2"
"","G006_C005_20220510_R","DJI_G006","6","6/06D","5","58.80875015258789","19695730688","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-10 21:44:23 +0100","20:46:42.00","20:47:40.18","106","2"
"","G006_C006_20220510_R","DJI_G006","6","6/06D","6","56.09770584106445","18176409600","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-10 21:44:23 +0100","20:48:19.00","20:49:15.01","106","2"
"","G006_C007_20220510_R","DJI_G006","6","6/06D","7","57.39066696166992","19314442240","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-10 21:44:23 +0100","20:50:11.00","20:51:08.08","106","2"
"","G006_C008_20220510_R","DJI_G006","6","6/06D","8","110.3185424804688","35224092672","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-10 21:44:23 +0100","20:53:57.00","20:55:47.05","106","2"
"","G006_C009_20220510_R","DJI_G006","6","6/06D","9","53.42837524414062","16377118720","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-10 21:44:23 +0100","20:56:19.00","20:57:12.09","106","2"
"","G006_C010_20220510_R","DJI_G006","6","6/06D","10","51.34295654296875","15457517568","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-10 21:44:23 +0100","20:57:53.00","20:58:44.07","106","2"
"","G007_C001_20220513_R","DJI_G007","6","6/35A","FC","100.8090362548828","40717189120","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-13 09:28:33 +0100","08:16:31.00","08:18:11.17","109","2"
"","G007_C002_20220513_R","DJI_G007","6","6/35A","1","5.714041709899902","2024407040","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-13 09:28:33 +0100","08:19:51.00","08:19:56.17","109","2"
"","G007_C003_20220513_R","DJI_G007","6","6/35A","2","106.3562469482422","46252032000","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-13 09:28:33 +0100","08:41:20.00","08:43:06.06","109","2"
"","G007_C004_20220513_R","DJI_G007","6","6/35A","3","90.42366790771484","39191511040","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-13 09:28:33 +0100","08:45:56.00","08:47:26.08","109","2"
"","G007_C005_20220513_R","DJI_G007","6","6/35A","4","139.3058319091797","60430417920","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-13 09:28:33 +0100","08:49:35.00","08:51:54.04","109","2"
"","G007_C006_20220513_R","DJI_G007","6","6/35A","5","129.1289978027344","56216256512","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-13 09:28:33 +0100","08:56:50.00","08:58:59.00","109","2"
"","G007_C007_20220513_R","DJI_G007","6","6/35A","6","75.03328704833984","33619574784","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-13 09:28:33 +0100","09:00:26.00","09:01:40.23","109","2"
"","G007_C008_20220513_R","DJI_G007","6","6/35A","7","82.20712280273438","35245064192","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-13 09:28:33 +0100","09:02:46.00","09:04:08.03","109","2"
"","G007_C009_20220513_R","DJI_G007","6","6/35A","8","59.80974960327148","25228804096","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-13 09:28:33 +0100","09:04:51.00","09:05:50.18","109","2"
"","G007_C010_20220513_R","DJI_G007","6","6/35A","9","56.55649948120117","23353491456","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-13 09:28:33 +0100","09:06:34.00","09:07:30.12","109","2"
"","G007_C011_20220513_R","DJI_G007","6","6/35A","FC","87.67091369628906","39005454336","0","4800","-0.965344","5760x3240","23.98","0","","","","","","","","CinemaDNG","dng","2022-05-13 09:28:33 +0100","09:12:39.00","09:14:06.14","109","2"
